year,cpi,smig_monthly
2000,83.64975329,1826
2001,84.16821603,1826
2002,86.52123923,1826
2003,87.53157688,1826
2004,88.83881199,1845
2005,89.71177917,1845
2006,92.6585973,1845
2007,94.55076474,1845
2008,98.06317731,1936
2009,99.01621705,2032
2010,100.0,2032
2011,100.9069249,2234
2012,102.2057205,2337
2013,104.1278572,2337
2014,104.5884252,2454
2015,106.2178157,2570
2016,107.9548075,2570
2017,108.7695027,2570
2018,110.731614,2570
2019,111.0675582,2699
2020,111.8516604,2829
2021,113.4197746,2829
2022,120.9701767,2970
2023,128.3386413,3111
2024,129.6031063,3111
